月,regtech: (全球)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,40
2005-02,0
2005-03,36
2005-04,0
2005-05,0
2005-06,0
2005-07,36
2005-08,0
2005-09,0
2005-10,29
2005-11,0
2005-12,0
2006-01,26
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,23
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,16
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,13
2007-09,0
2007-10,0
2007-11,0
2007-12,12
2008-01,0
2008-02,0
2008-03,10
2008-04,0
2008-05,0
2008-06,10
2008-07,0
2008-08,0
2008-09,9
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,7
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,6
2010-02,6
2010-03,6
2010-04,6
2010-05,6
2010-06,0
2010-07,5
2010-08,0
2010-09,0
2010-10,0
2010-11,5
2010-12,5
2011-01,0
2011-02,5
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,13
2011-08,12
2011-09,0
2011-10,4
2011-11,0
2011-12,0
2012-01,3
2012-02,0
2012-03,0
2012-04,0
2012-05,3
2012-06,3
2012-07,0
2012-08,0
2012-09,3
2012-10,3
2012-11,3
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,3
2013-05,0
2013-06,3
2013-07,0
2013-08,3
2013-09,3
2013-10,0
2013-11,2
2013-12,2
2014-01,0
2014-02,0
2014-03,0
2014-04,2
2014-05,2
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,5
2014-11,0
2014-12,2
2015-01,0
2015-02,5
2015-03,2
2015-04,0
2015-05,2
2015-06,2
2015-07,2
2015-08,4
2015-09,4
2015-10,6
2015-11,6
2015-12,4
2016-01,6
2016-02,13
2016-03,10
2016-04,9
2016-05,13
2016-06,28
2016-07,15
2016-08,34
2016-09,22
2016-10,34
2016-11,38
2016-12,23
2017-01,35
2017-02,40
2017-03,42
2017-04,64
2017-05,48
2017-06,48
2017-07,64
2017-08,58
2017-09,67
2017-10,62
2017-11,82
2017-12,64
2018-01,66
2018-02,74
2018-03,70
2018-04,93
2018-05,81
2018-06,62
2018-07,62
2018-08,67
2018-09,75
2018-10,76
2018-11,71
2018-12,66
2019-01,67
2019-02,100
2019-03,60
2019-04,81
2019-05,88
2019-06,82
2019-07,62
2019-08,57
2019-09,79
2019-10,55
2019-11,90
2019-12,65
2020-01,74
2020-02,79
2020-03,45
2020-04,45
2020-05,55
2020-06,77
2020-07,48
2020-08,59
2020-09,57
2020-10,57
2020-11,62
2020-12,62
2021-01,42
2021-02,45
2021-03,66
2021-04,66
2021-05,88
2021-06,55
