月,fintech: (全球)
2004-01,4
2004-02,2
2004-03,4
2004-04,3
2004-05,0
2004-06,4
2004-07,0
2004-08,3
2004-09,0
2004-10,3
2004-11,3
2004-12,1
2005-01,1
2005-02,3
2005-03,0
2005-04,2
2005-05,1
2005-06,1
2005-07,2
2005-08,1
2005-09,4
2005-10,2
2005-11,3
2005-12,3
2006-01,0
2006-02,1
2006-03,1
2006-04,3
2006-05,4
2006-06,3
2006-07,2
2006-08,3
2006-09,6
2006-10,2
2006-11,4
2006-12,2
2007-01,4
2007-02,2
2007-03,3
2007-04,3
2007-05,3
2007-06,2
2007-07,3
2007-08,1
2007-09,1
2007-10,2
2007-11,3
2007-12,2
2008-01,1
2008-02,3
2008-03,2
2008-04,3
2008-05,3
2008-06,3
2008-07,3
2008-08,2
2008-09,1
2008-10,2
2008-11,1
2008-12,2
2009-01,2
2009-02,4
2009-03,3
2009-04,3
2009-05,3
2009-06,2
2009-07,3
2009-08,3
2009-09,1
2009-10,1
2009-11,2
2009-12,2
2010-01,1
2010-02,2
2010-03,1
2010-04,2
2010-05,1
2010-06,3
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,2
2010-12,2
2011-01,3
2011-02,3
2011-03,1
2011-04,2
2011-05,2
2011-06,2
2011-07,1
2011-08,2
2011-09,2
2011-10,2
2011-11,1
2011-12,1
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,1
2012-06,2
2012-07,2
2012-08,2
2012-09,2
2012-10,3
2012-11,2
2012-12,2
2013-01,2
2013-02,3
2013-03,2
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,2
2013-09,3
2013-10,2
2013-11,4
2013-12,2
2014-01,4
2014-02,3
2014-03,3
2014-04,4
2014-05,3
2014-06,4
2014-07,5
2014-08,5
2014-09,5
2014-10,7
2014-11,6
2014-12,5
2015-01,8
2015-02,10
2015-03,12
2015-04,13
2015-05,12
2015-06,18
2015-07,16
2015-08,18
2015-09,21
2015-10,25
2015-11,25
2015-12,27
2016-01,30
2016-02,39
2016-03,42
2016-04,48
2016-05,50
2016-06,50
2016-07,43
2016-08,46
2016-09,48
2016-10,54
2016-11,63
2016-12,45
2017-01,59
2017-02,57
2017-03,63
2017-04,57
2017-05,64
2017-06,63
2017-07,61
2017-08,60
2017-09,68
2017-10,75
2017-11,78
2017-12,65
2018-01,72
2018-02,66
2018-03,73
2018-04,72
2018-05,72
2018-06,64
2018-07,68
2018-08,68
2018-09,78
2018-10,88
2018-11,92
2018-12,66
2019-01,79
2019-02,87
2019-03,86
2019-04,83
2019-05,86
2019-06,85
2019-07,90
2019-08,84
2019-09,100
2019-10,97
2019-11,99
2019-12,80
2020-01,91
2020-02,95
2020-03,70
2020-04,78
2020-05,74
2020-06,79
2020-07,82
2020-08,77
2020-09,85
2020-10,74
2020-11,72
2020-12,74
2021-01,88
2021-02,88
2021-03,98
2021-04,84
2021-05,80
2021-06,89
